label,artist_names,params,img,周播放冠军次数：,上榜周数,,2019-02-07,2019-02-14,2019-02-21,2019-02-28,2019-03-07,2019-03-14,2019-03-28,2019-04-04,2019-04-11,2019-04-18,2019-04-25,2019-05-02,2019-05-09,2019-05-16,2019-05-23,2019-05-30,2019-06-06,2019-06-13,2019-06-20,2019-06-27,2019-07-04,2019-07-11,2019-07-18,2019-07-25,2019-08-01,2019-08-08,2019-08-15,2019-08-22,2019-08-29,2019-09-05,2019-09-12,2019-09-19,2019-09-26,2019-10-03,2019-10-10,2019-10-17,2019-10-24,2019-10-31,2019-11-07,2019-11-14,2019-11-21,2019-11-28,2019-12-05,2019-12-12,2019-12-19,2019-12-26,2020-01-02,2020-01-09,2020-01-16,2020-01-23,2020-01-30,2020-02-06,2020-02-13,2020-02-20,2020-02-27,2020-03-05,2020-03-12,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-26,2020-12-03,2020-12-10,2020-12-17,2020-12-24,2020-12-31,2021-01-07,2021-01-14,2021-01-21,2021-01-28,2021-02-04,2021-02-11,2021-02-18,2021-02-25,2021-03-04,2021-03-11,2021-03-18,2021-03-25,2021-04-01,2021-04-08,2021-04-15,2021-04-22,2021-04-29,2021-05-06,2021-05-13,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-17,2021-06-24,2021-07-01,2021-07-08,2021-07-15,2021-07-22,2021-07-29,2021-08-05,2021-08-12,2021-08-19,2021-08-26,2021-09-02,2021-09-09,2021-09-16,2021-09-23,2021-09-30,2021-10-07,2021-10-14,2021-10-21,2021-10-28,2021-11-04,2021-11-11,2021-11-18,2021-11-25,2021-12-02,2021-12-09,2021-12-16,2021-12-23,2021-12-30,2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17
/m/0gmf12r,Omer Adam,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14Gj2qTuu_u_f4e10l94x_g1wjOoa5jvZh1P8-_xNBw,0,162,160+,3534431,7769709,11612528,14705143,20143608,22517534,24587060,26491399,29636220,34463738,38760142,42067655,44735927,47418915,50064181,52692726,55277424,60869453,66237070,71051888,75478804,79976498,84188916,88003020,91492412,94421840,97999186,101747402,105915848,109951241,113423495,116773858,119865140,124436808,128052955,132040050,135559455,138604049,141570339,144296987,148619076,151835087,154886735,157354852,159697063,162029649,165821904,171335434,176332876,180759926,184837962,188797897,192574347,196321695,200467981,204811335,209107665,213261873,217707242,221746819,226181352,229788796,233016283,237238077,241414418,245518821,249441149,253340840,256501364,259710620,262734164,265594513,268762254,273263623,277241377,281042653,284033705,287408438,290774408,294567677,298698080,302136541,305209433,308280688,310924375,313229409,316237867,319889474,323998340,327508295,330397519,333099775,336251443,340067530,343480598,346561993,349454031,352077226,354727993,357644021,360303516,362719109,365174829,367621681,370181135,374843495,382194877,388623641,394790016,400577763,406601757,411486878,415739007,419893762,424074167,429269653,434434742,438425686,442060089,446788098,451210803,455293851,459208162,462961879,466338496,469420076,472314262,475097650,478342771,482304651,487429041,492700200,498479180,503867423,509013907,513152722,518578297,523923129,528874493,533922551,538478158,542785746,548467676,553921465,559014900,563984181,569020296,573728958,578084011,581994326,586031239,591623198,596500298,600523785,604176093,607636359,611460860,615761107,619944724,624281276,629556013,634285294
/g/11f4lj3qpx,Netta Barzilai,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/mpee2-AmNK-aCx-eRkBQqoYB7xY_cE3s_hd4gm24QTGK9jGYp68Zm2xa1ub1YbGhlrEOSYv1VGf1_UqPag,0,63,60+,3492569,5646420,7184174,8399331,9413195,10203714,10946931,11526893,12102860,12662926,13287141,13666618,14067578,15897554,17239147,18187417,18893647,19541962,20069701,20513128,20960664,21388983,21759050,22092559,22442966,22751593,23033928,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23321056,23605518,23605518,23605518,23605518,24596416,25232021,25891068,26470734,27027414,27593211,28651005,29290107,29848273,30383635,30933578,31447348,31953815,32439691,32920378,33338085,33718029,34101528,34461216,34820135,35272775,35639634,35944591,36274868,36895172,37310159,37667557,37978946,38260921,38260921,38260921,38260921,38260921,38260921,38260921,38260921,38260921,38260921,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,38551890,39121275,39844467,40668843,40668843,40668843,40668843,40668843,40668843,40668843,40668843,40668843,40668843,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124,40921124
/m/0l026y,Eyal Golan,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14GhoHKwWp4Rkt6eN9av_cn1clVEIpBfoWyPUkgEHzw,0,162,160+,3298183,6309121,9635542,13543214,18762296,22337624,25635220,28909428,32642242,43093275,51236134,57490986,63028220,68345335,73841348,79509138,84815180,89653281,94571387,99201119,103223391,106781116,111029596,114412763,117192319,120266721,123917081,128135369,131914781,135598544,139225480,142739733,146862812,150834773,154142407,157896201,161523984,165116430,168678069,171948908,175261111,178730003,182693100,186393360,189840815,193068720,196006776,198749650,201602798,204334109,208151244,211611006,214853626,218294794,221585549,224796629,227881037,232527167,236962461,241425597,246670513,254512987,259203971,264576035,270812310,277661767,284913064,292056929,298163333,304591300,310814968,318000032,324279510,329989363,335123355,339910130,344036535,348937267,354087204,359979643,365769828,370807520,375490898,380349949,384641824,388485059,393135363,397457286,402040426,406674290,411706224,416202881,420474371,424457404,428371009,432218687,436003824,439615743,443138890,446636965,450026815,453404964,456921885,460470666,464539570,469290008,473651628,477846698,482277652,487206714,495330217,502116221,507968765,515028127,521839634,528333271,534180979,538875268,542963891,548106333,553199569,558408217,563547475,568411324,572906346,577317986,581487322,585816725,591052091,595718489,600149763,604397086,608588162,612819540,618020826,622110052,626965879,631552318,636117214,640910435,645611685,650338445,655148916,660061032,664927589,669339432,673867512,678182427,682449824,686692419,691585099,696277025,700893110,705604951,710855481,715776556,720514795,725284829,730111824,734793126,739805437,744887954
/g/11gdzbggh4,Stephane Legar,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/9MqHffbgpD4/default.jpg,0,162,160+,2796561,5172531,7593018,9842984,11765156,13313534,14841626,16519602,18353894,20154623,21737869,22700314,23665431,24520655,25445804,26283323,27071357,27916683,29359898,30505112,31469371,32332188,33188244,34119099,34901033,35620902,36405245,37216993,38000417,38570234,39110989,40045831,40692580,41910572,42927635,44205586,45240324,46096766,46912055,47696789,48425487,49114239,50036287,51194176,52279400,53518523,54815511,56043995,57245949,58350882,59363524,60429965,61498016,62634909,63724095,64759026,65833052,67033925,68366474,69635874,70743885,71769305,72806696,73775786,74685895,75538016,76301312,77068259,77689265,78328571,78980711,79984736,81510123,82230028,82916885,83560828,84127312,84747953,85433739,86148542,86808603,87365035,87863828,88416279,89104879,89724386,90442726,91092747,91661247,92172306,92621578,93046731,93470816,93887450,94286877,94693926,95134172,95527725,95942980,96409179,96930374,97466766,97982756,98530764,99050442,99560321,100011276,100450123,100892997,101326172,101809890,102268207,102643152,102983111,103478005,104036037,104564911,105037119,105471252,105863464,106264750,106652084,107024668,107389632,107776251,108741710,109520141,110256192,110981001,111756922,112483111,113210035,113953341,114601403,115167184,115609973,116154724,116627633,117018912,117421379,117792087,118134635,118476579,118813373,119178474,119493277,119825753,120154615,120453964,120756237,121045093,121376718,121828428,122243695,122625355,122978299,123311940,123624249,123922812,124197012,124468462,124778439
/m/09gkdy4,Ariana Grande,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/B6_iQvaIjXw/default.jpg,0,162,160+,1343467,2345337,3922871,5528204,7080955,8425315,9733881,10991219,12275180,13513765,14586957,15405402,16197889,16934663,17646139,18297954,18956457,19583522,20187422,20746939,21299658,21843674,22400515,22900563,23402636,24183808,24817022,25411558,26013136,26539292,27093654,28064652,28763913,29367405,29876878,30439350,30971040,31484346,32043117,32598073,33109434,33597477,34084916,34559839,35032740,35582496,36071768,36525147,36974470,37407955,37833409,38289285,38727970,39155293,39564356,39956077,40345978,40755858,41172866,41603476,42022672,42431102,42859088,43261353,43701188,44375483,44889399,45681363,46272344,46855952,47397052,47931112,48456317,48955485,49453992,49942679,50424663,50945478,51467054,51978128,52455316,52928405,53396746,53870853,54337632,54747788,55203651,55669284,56160006,57012819,58005849,58792021,59740380,60688304,61547690,62393562,63237895,64079556,64965924,65821763,66644184,67486345,68276151,69070775,69881208,70759470,71585315,72365245,73106629,73817441,74543216,75145627,75737708,76318027,76872222,77796153,78632642,79277110,79754463,80247510,80748405,81215643,81655813,82109567,82543381,82975696,83408020,83875849,84333077,84751024,85206369,85638293,86047758,86427054,86783867,87114377,87499111,87867018,88215163,88579849,88954812,89306240,89665000,90020606,90366107,90683921,91022093,91370616,91710957,92046205,92411213,92748214,93085289,93415295,93738585,94061340,94394713,94720427,95043070,95354140,95668816,95983254
/g/11cp7gjh1b,Marshmello,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/m7Bc3pLyij0/default.jpg,0,115,110+,1252915,2320108,3216007,3981584,4663855,5354977,6081029,6769759,7478887,8146240,8748728,9241265,9757006,10178823,10612731,11037526,11434680,11831205,12269316,12705257,13170735,13632350,14061944,14480128,14928351,15397719,15820578,16335323,16834900,17216778,17550890,17903093,18246586,18624581,18950625,19374750,19771002,20097829,20418630,20760145,21083688,21388992,21691462,21992105,22274901,22578424,22848565,23125542,23409456,23705298,23992192,24267111,24549755,24840301,25121135,25416634,25755050,26147441,26538545,26963430,27395965,27748418,28078371,28402876,28777363,29169590,29521992,29880721,30175708,30503333,30842111,31205982,31630567,32075150,32590722,33060380,33439352,33855218,34266198,34649822,34979842,35287001,35581432,35913327,36256331,36585795,36960745,37337464,37696315,38062295,38386636,38706363,39023412,39330888,39619870,39619870,39619870,39619870,39619870,39619870,39947283,40268722,40580941,40908032,41224958,41525139,41815331,42113626,42402915,42402915,42402915,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42972399,43253127,43532621,43532621,43532621,43532621,43763658,44018742,44275759,44525969,44791738,45073257,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686
/g/11bt_3d9r2,אושר כהן,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/ffZ9TVmS6cI/default.jpg,0,65,60+,1207849,2236169,3080141,3843649,4595673,5360351,5956429,6559034,7135991,7656955,8060973,8406454,9201885,9753934,10303815,10994299,11643346,12140186,12625932,13091226,13782908,14418194,14987428,15493602,15979049,16417050,16864202,17773254,18415244,19012230,19593180,20111282,20637827,21071798,21493205,22042599,22551619,23098593,23689694,24772452,25661173,26259854,26940966,27533672,28027843,28523798,28965560,29371835,29751510,30060691,30350462,30713654,31845129,32457208,33047389,33600612,34078151,34634202,35129874,35606615,36034404,36368451,36689099,37011607,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173,37413173
/m/0_y70vr,הפרויקט של עידן רייכל,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpSAIvw3bBynfijsVgItIoOLbHVPkDdXCVcQ&usqp=CAU,0,67,60+,1008197,2008412,2933772,3799734,4707373,5455079,6069729,6725267,7381291,8112053,8790592,9455087,10123232,10796164,11460365,12155466,12712611,13216376,13798003,14496714,15114171,15745793,16385492,16962756,17508601,18030637,18623517,19276883,19908089,20578814,21268085,21871988,22556076,23129949,23639177,24189648,24726616,25323393,25894189,26441906,27009208,27540265,28019968,28495589,28995573,29493859,29955825,30420316,30906106,31421657,32379730,33221160,34089189,35055349,35875836,36596897,37477017,38405609,39448964,40695367,41886059,42791949,43613901,44607049,45550211,46490500,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010
/m/0vsy7t0,Idan Amedi,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/_HFQEZt77KU/default.jpg,0,162,160+,764489,1486971,2057704,2646708,3406660,3984748,4538187,5079030,5612103,6208500,6648844,7069609,7627876,8046847,8460925,8927804,9398907,9808544,10590929,11546595,12315300,13018206,13633624,14182249,14721367,15207876,15826867,16467552,17125077,17782484,18414293,18980746,19538107,20082717,20592869,21121680,21609680,22126372,22631099,23092241,23581129,24049521,24460034,25014326,25710420,26354270,26953827,27518183,28089294,28658704,29207295,29762416,30451401,31370036,32190893,32971460,33699386,34409739,35194609,35982472,36781300,37430075,38063917,38952286,39608030,40195395,40953151,41763474,42407696,43064089,43689345,44320820,44939680,45546905,46106712,46663519,47198883,47902866,48669204,49365572,50047390,50675710,51327621,52152601,53123418,53893614,54652848,55363136,56101268,56814906,57481303,58148001,58864453,59592510,60343085,61074871,61771241,62463582,63167693,63847593,64480248,65086479,65674429,66580719,67479306,68236467,68956533,69659205,70446320,71218728,72108508,72816313,73482445,74344268,75013808,75703906,76364321,76930977,77486392,78267641,79011178,79758314,80444323,81105105,81709305,82262783,82775426,83320170,83876359,84562594,85323385,86032676,86768333,87606669,88466391,89271468,90098870,90761362,91483021,92261281,92946073,93657741,94403648,95081813,95751053,96404839,97084198,97709781,98353890,98939303,99500245,100056051,100655413,101215796,101758746,102327471,102934280,103537763,104099836,104622647,105148750,105653912
/g/11bx1z85dk,Static & Ben El Tavori,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpSAIvw3bBynfijsVgItIoOLbHVPkDdXCVcQ&usqp=CAU,0,29,20+,746749,1491272,2015343,2380942,2969056,3267199,3545267,3824060,4137655,4483229,4833534,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5276122,5534715,5753375,6136583,6535637,6905853,7179106,7427370,7683549,7683549,7967393,8966364,9759509,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10690987,10690987,10690987,12268925,13910014,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139
/g/11f7j1lz54,Noy Fadlon,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/dX2YlYOWOO4/default.jpg,0,32,30+,733584,1470871,2172988,2820072,3910006,5012935,5870479,6638483,7391434,8295053,8947090,9287252,9566812,9823496,10083865,10349568,10617474,10845083,10845083,10845083,10845083,11391653,11787020,12101866,12375100,12610243,12610243,12610243,12610243,12610243,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,12860976,13296117,13697757,13995040,14224356,14224356,14224356,14224356,14224356,14224356,14224356,14224356,14503117,14990156,15359567,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133,15624133
/m/0vsy8fl,Nathan Goshen,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/C-_aF54KFs0/default.jpg,0,162,160+,719888,1414888,2087325,2761126,3436980,4122875,5091179,6728737,8222693,9727889,10825607,11611800,12336044,13144691,13981268,14853025,15745708,16587397,17512080,18408693,19317581,20121333,20884362,21915065,22673616,23355283,24174026,25029099,25912954,26768996,27689074,28529498,29421940,30183891,30875023,31546978,32255488,33014678,33764281,34412568,35087558,36927114,38749985,40522463,42163907,43785579,45218828,46600966,48087387,49598288,50828138,51967825,53072956,54729133,56231207,57542417,58695333,59819997,61013138,62212588,63895281,65115496,66345713,67408591,68353949,69480888,70802664,72068125,73091095,74182480,75172938,76099920,76970000,77744787,78444720,79100852,79753769,80603113,81343194,82064620,82744941,83380031,84078679,84754353,85350454,85914684,86547470,87106280,87718803,88352056,88946886,90578584,92594577,94416226,96144800,97724857,99152429,100470761,101739189,102948045,104030072,105069897,106066308,107037151,107994983,108904016,109761447,110648775,111567525,112965501,114477797,115531250,116492038,117425769,118313228,119215316,120107437,120895151,121543042,122356710,123214800,124115680,125039182,125920025,126752608,127592338,128415381,129271881,130180431,131091061,131980809,132928410,133840706,134726384,135527177,136249548,137071633,137855115,138683051,139503021,140336787,141230934,142158360,143073109,143945334,144754341,145565108,146323207,147111045,147857359,148624711,149327578,150045508,150739121,151428595,152114679,152836390,153548566,154240309,154893250,155590311,156280716
